gen,sample,loc,column,row,bench,line,type,plant,nod_diss,nod_rem,leaf,flower,fruit,date_diss,notes,shoot,root,height
I,sub,A01,A,1,one,270,exp,I-A01,10,17,7,0,0,10-Jun-16,,0.101,NA,5
II,sub,A01,A,1,one,270,exp,II-A01,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
III,sub,A01,A,1,one,270,exp,III-A01,0,10,22,0,0,04-Nov-16,,0.239,NA,5.5
IV,sub,A01,A,1,one,270,exp,IV-A01,1,0,4,0,0,12-Jan-17,,0.056,NA,4
V,sub,A01,A,1,one,270,exp,V-A01,9,10,18,0,0,28-Mar-17,,0.152,NA,5
I,sub,A02,A,2,one,276,exp,I-A02,10,1,9,0,0,10-Jun-16,,0.076,NA,4
II,full,A02,A,2,one,276,exp,II-A02,26,0,6,0,0,18-Aug-16,FD-genII,0.067,0.032,3
I,sub,A03,A,3,one,279,exp,I-A03,10,3,13,0,0,10-Jun-16,Lots of root broke.,0.213,NA,6
II,sub,A03,A,3,one,279,exp,II-A03,0,10,8,0,0,18-Aug-16,,0.051,NA,3
III,full,A03,A,3,one,279,exp,III-A03,8,0,18,0,0,04-Nov-16,FD-genIII,0.244,0.063,6
I,sub,A04,A,4,one,267,exp,I-A04,10,21,15,0,0,10-Jun-16,,0.136,NA,5
II,sub,A04,A,4,one,267,exp,II-A04,5,14,23,0,0,18-Aug-16,,0.184,NA,4
III,sub,A04,A,4,one,267,exp,III-A04,NA,NA,NA,NA,NA,NA,died,NA,NA,2
IV,sub,A04,A,4,one,267,exp,IV-A04,10,22,24,0,0,12-Jan-17,height not recorded,0.506,NA,NA
V,sub,A04,A,4,one,267,exp,V-A04,0,2,1,0,0,28-Mar-17,yellow leaves,0.012,NA,3
I,sub,A05,A,5,one,276,exp,I-A05,10,16,10,0,0,10-Jun-16,,0.088,NA,5
II,full,A05,A,5,one,276,exp,II-A05,29,0,17,0,0,18-Aug-16,FD-genII,0.156,0.043,3
I,sub,A06,A,6,one,313,exp,I-A06,10,37,24,0,0,10-Jun-16,,0.306,NA,8
II,sub,A06,A,6,one,313,exp,II-A06,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
III,sub,A06,A,6,one,313,exp,III-A06,6,10,10,0,0,04-Nov-16,,0.157,NA,5.5
IV,sub,A06,A,6,one,313,exp,IV-A06,0,6,24,0,0,12-Jan-17,,0.203,NA,3
V,sub,A06,A,6,one,313,exp,V-A06,10,12,13,0,0,28-Mar-17,,0.14,NA,4.5
I,sub,A07,A,7,one,313,exp,I-A07,10,24,21,0,0,10-Jun-16,,0.221,NA,4
II,sub,A07,A,7,one,313,exp,II-A07,0,6,10,0,0,18-Aug-16,,0.129,NA,3
III,sub,A07,A,7,one,313,exp,III-A07,10,10,13,0,0,04-Nov-16,,0.168,NA,6
IV,sub,A07,A,7,one,313,exp,IV-A07,7,10,18,0,0,12-Jan-17,FD-genIV,0.168,0.118,3
I,sub,A08,A,8,one,279,exp,I-A08,10,24,21,0,0,10-Jun-16,,0.348,NA,6
II,sub,A08,A,8,one,279,exp,II-A08,10,30,20,0,0,18-Aug-16,,0.274,NA,3
III,sub,A08,A,8,one,279,exp,III-A08,0,10,5,0,0,04-Nov-16,,0.089,NA,2
IV,sub,A08,A,8,one,279,exp,IV-A08,0,13,7,0,0,11-Jan-17,,NA,NA,5
V,sub,A08,A,8,one,279,exp,V-A08,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,A09,A,9,one,313,control,I-A09,10,34,34,0,0,10-Jun-16,,0.609,NA,9
II,sub,A09,A,9,one,313,control,II-A09,10,64,37,0,0,18-Aug-16,,0.502,NA,3
III,sub,A09,A,9,one,313,control,III-A09,0,14,6,0,0,04-Nov-16,,NA,NA,4
IV,sub,A09,A,9,one,313,control,IV-A09,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
V,sub,A09,A,9,one,313,control,V-A09,10,14,7,0,0,28-Mar-17,,0.071,NA,2.5
I,sub,A10,A,10,one,313,exp,I-A10,10,8,10,0,0,10-Jun-16,,0.093,NA,2
II,full,A10,A,10,one,313,exp,II-A10,82,15,24,0,0,18-Aug-16,FD-genII,0.324,0.111,3
I,sub,A11,A,11,one,267,exp,I-A11,10,34,25,0,0,10-Jun-16,,0.368,NA,6
II,sub,A11,A,11,one,267,exp,II-A11,0,7,32,0,0,18-Aug-16,,0.521,NA,4
III,full,A11,A,11,one,267,exp,III-A11,11,0,13,0,0,04-Nov-16,FD-genIII,0.259,0.057,5
I,sub,A12,A,12,one,279,exp,I-A12,10,36,20,0,0,10-Jun-16,,0.465,NA,7
II,sub,A12,A,12,one,279,exp,II-A12,10,17,21,0,0,18-Aug-16,,0.388,NA,3
III,sub,A12,A,12,one,279,exp,III-A12,0,10,5,0,0,04-Nov-16,,0.094,NA,3
IV,sub,A12,A,12,one,279,exp,IV-A12,4,10,5,0,0,12-Jan-17,,0.038,NA,3
V,sub,A12,A,12,one,279,exp,V-A12,0,0,1,0,0,28-Mar-17,"yellow leaves, red leaf",0.007,NA,0.5
I,sub,A13,A,13,one,267,exp,I-A13,10,10,9,0,0,10-Jun-16,,0.082,NA,3
II,sub,A13,A,13,one,267,exp,II-A13,0,11,3,0,0,18-Aug-16,,0.047,NA,2
III,sub,A13,A,13,one,267,exp,III-A13,10,4,15,0,0,04-Nov-16,,0.245,NA,7
IV,sub,A13,A,13,one,267,exp,IV-A13,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
V,sub,A13,A,13,one,267,exp,V-A13,8,10,8,0,0,28-Mar-17,yellow leaves,0.268,NA,5
I,sub,B01,B,1,one,279,exp,I-B01,10,12,9,0,0,10-Jun-16,,0.177,NA,6
II,sub,B01,B,1,one,279,exp,II-B01,10,15,10,0,0,18-Aug-16,,0.112,NA,3
III,sub,B01,B,1,one,279,exp,III-B01,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,sub,B01,B,1,one,279,exp,IV-B01,10,13,16,0,0,12-Jan-17,,0.34,NA,4
V,sub,B01,B,1,one,279,exp,V-B01,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,B02,B,2,one,270,exp,I-B02,10,0,5,0,0,10-Jun-16,,0.084,NA,6
II,sub,B02,B,2,one,270,exp,II-B02,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
III,sub,B02,B,2,one,270,exp,III-B02,8,10,12,0,0,04-Nov-16,,0.213,NA,7
IV,sub,B02,B,2,one,270,exp,IV-B02,10,8,10,0,0,12-Jan-17,,0.109,NA,5
V,sub,B02,B,2,one,270,exp,V-B02,0,7,6,0,0,28-Mar-17,,0.031,NA,0.5
I,sub,B03,B,3,one,270,control,I-B03,0,5,5,0,0,10-Jun-16,yellow leaves,0.029,NA,3
II,full,B03,B,3,one,270,control,II-B03,9,0,NA,NA,NA,18-Aug-16,FD-genII,0.027,0.007,1
I,sub,B04,B,4,one,276,exp,I-B04,10,21,15,0,0,10-Jun-16,,0.144,NA,5
II,sub,B04,B,4,one,276,exp,II-B04,8,16,13,0,0,18-Aug-16,,0.117,NA,3
III,sub,B04,B,4,one,276,exp,III-B04,0,7,4,0,0,04-Nov-16,,0.044,NA,4
IV,full,B04,B,4,one,276,exp,IV-B04,36,0,25,0,0,12-Jan-17,FD-genIV,0.321,0.115,3
I,sub,B05,B,5,one,270,exp,I-B05,10,7,10,0,0,10-Jun-16,,0.114,NA,5
II,sub,B05,B,5,one,270,exp,II-B05,0,3,6,0,0,18-Aug-16,no bottom,0.02,NA,1
III,sub,B05,B,5,one,270,exp,III-B05,10,14,8,0,0,04-Nov-16,,0.119,NA,6
IV,sub,B05,B,5,one,270,exp,IV-B05,6,10,28,0,0,12-Jan-17,,0.293,NA,6
V,sub,B05,B,5,one,270,exp,V-B05,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,B06,B,6,one,267,control,I-B06,0,0,0,0,0,10-Jun-16,died,0.005,NA,1
II,sub,B06,B,6,one,267,control,II-B06,10,23,58,0,1,18-Aug-16,,0.696,NA,4
III,sub,B06,B,6,one,267,control,III-B06,NA,NA,NA,NA,NA,NA,died,NA,NA,1
IV,sub,B06,B,6,one,267,control,IV-B06,10,42,34,0,0,12-Jan-17,,0.48,NA,4
V,sub,B06,B,6,one,267,control,V-B06,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,B07,B,7,one,313,exp,I-B07,10,13,23,0,0,10-Jun-16,,0.219,NA,5
II,sub,B07,B,7,one,313,exp,II-B07,10,62,47,0,0,18-Aug-16,,0.585,NA,3
III,sub,B07,B,7,one,313,exp,III-B07,10,20,17,0,0,04-Nov-16,,0.196,NA,6
IV,full,B07,B,7,one,313,exp,IV-B07,37,0,14,0,0,12-Jan-17,FD-genIV,0.216,0.058,3.5
I,sub,B08,B,8,one,270,exp,I-B08,0,8,6,0,0,10-Jun-16,,0.07,NA,4
II,sub,B08,B,8,one,270,exp,II-B08,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
III,sub,B08,B,8,one,270,exp,III-B08,6,10,16,0,0,04-Nov-16,,0.23,NA,7
IV,sub,B08,B,8,one,270,exp,IV-B08,10,12,11,0,0,12-Jan-17,,0.138,NA,4.5
V,sub,B08,B,8,one,270,exp,V-B08,7,10,17,0,0,28-Mar-17,,0.102,NA,3.5
I,sub,B09,B,9,one,270,exp,I-B09,4,0,6,0,0,10-Jun-16,late emerge,0.045,NA,2
II,sub,B09,B,9,one,270,exp,II-B09,0,9,6,0,0,18-Aug-16,,0.022,NA,1
III,sub,B09,B,9,one,270,exp,III-B09,10,20,18,0,0,04-Nov-16,,0.218,NA,5.5
IV,sub,B09,B,9,one,270,exp,IV-B09,4,10,9,1,0,12-Jan-17,,0.102,NA,4
V,sub,B09,B,9,one,270,exp,V-B09,6,10,8,0,0,28-Mar-17,,0.071,NA,3
I,sub,B10,B,10,one,276,exp,I-B10,10,21,23,0,0,10-Jun-16,,0.191,NA,4
II,sub,B10,B,10,one,276,exp,II-B10,0,15,8,0,0,18-Aug-16,,0.091,NA,0.5
III,full,B10,B,10,one,276,exp,III-B10,17,0,24,0,0,04-Nov-16,FD-genIII,0.375,0.083,5
I,sub,B11,B,11,one,276,exp,I-B11,10,34,26,0,0,10-Jun-16,,0.296,NA,4
II,sub,B11,B,11,one,276,exp,II-B11,0,7,8,0,0,18-Aug-16,,0.085,NA,3
III,sub,B11,B,11,one,276,exp,III-B11,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,full,B11,B,11,one,276,exp,IV-B11,20,0,12,0,0,12-Jan-17,FD-genIV,0.133,0.123,2
I,sub,B12,B,12,one,267,exp,I-B12,0,0,1,0,0,10-Jun-16,yellow leaves,0.009,NA,3
II,sub,B12,B,12,one,267,exp,II-B12,10,53,47,0,0,18-Aug-16,,0.85,NA,3
III,sub,B12,B,12,one,267,exp,III-B12,0,12,13,0,0,04-Nov-16,,0.328,NA,6
IV,sub,B12,B,12,one,267,exp,IV-B12,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
