line,sample,GS,SQ_Em1021,SD_Em1021,SQ_Em1022,SD_Em1022,qPCR_date,nanodrop_conc,inc
267,V07,two,0.000414292,0.000572811,2.00E-07,NA,23-Apr-18,7.9,N
276,A02,two,3.35E-06,4.13E-06,7.09E-07,5.41E-07,23-Apr-18,7.9,N
NA,pos (10-3),NA,0.000215089,1.76E-05,0.000182478,6.77E-07,23-Apr-18,9.25,N
NA,pos (10-3),NA,0.000239539,1.59E-05,0.000205715,6.54E-06,18-Apr-18,9.25,N
NA,pos (10-3),NA,0.000255128,2.26E-05,0.000234887,1.20E-05,10-May-18,9.25,N
NA,pos (10-3),NA,8.17E-05,4.10E-06,8.07E-05,8.13E-06,09-Jul-18,9.25,N
NA,pos (10-3),NA,0.000157408,1.82E-05,0.000164029,1.31E-05,15-Jun-18,9.25,N
276,U04,two,1.80E-07,3.01E-08,2.51E-07,NA,23-Apr-18,13,N
270,D10,two,3.61E-07,2.46E-07,1.14E-06,1.14E-07,18-Apr-18,4.1,Y
279,V04,two,0.000368573,1.31E-05,0.001318529,7.59E-05,23-Apr-18,23.1,Y
276,G05,three,8.09E-08,7.33E-08,2.95E-07,4.03E-08,09-Jul-18,9.3,Y
NA,pos (10-3),NA,6.29E-06,0.000397726,2.78E-05,0.000334517,12-Apr-18,9.25,N
267,G12,four,5.33E-08,0,2.76E-07,2.38E-08,09-Jul-18,30.4,Y
313,H06,two,0.000138857,2.57E-05,0.000731331,1.55E-05,23-Apr-18,12.2,Y
313,K06,two,2.68E-06,9.11E-07,1.45E-05,2.14E-06,23-Apr-18,13.6,Y
313,G08,two,1.59E-07,4.38E-07,8.86E-07,2.40E-05,12-Apr-18,2.8,Y
267,U02,two,6.53E-06,2.26E-07,4.65E-05,9.05E-06,23-Apr-18,7.2,Y
270,C05,three,2.30E-07,0,2.25E-06,2.51E-06,15-Jun-18,7.1,Y
270,I11,two,6.09E-05,6.49E-06,0.0006315,0.000124306,23-Apr-18,3.4,Y
313,G08,two,2.99E-05,3.38E-06,0.000378852,4.87E-06,18-Apr-18,2.8,Y
270,F07,two,6.65E-06,5.25E-07,0.000101501,4.74E-06,18-Apr-18,3.8,Y
313,H06,two,0.00012061,1.02E-05,0.002004906,6.96E-05,10-May-18,2.4,Y
267,F11,two,4.07E-06,3.56E-07,6.86E-05,6.63E-06,18-Apr-18,3.7,Y
270,E05,two,9.41E-07,8.81E-08,1.83E-05,1.17E-05,18-Apr-18,3.8,Y
270,L10,two,1.55E-06,5.53E-07,3.45E-05,3.04E-06,23-Apr-18,6.1,Y
276,B10,three,4.47E-07,3.11E-07,1.56E-05,1.36E-07,15-Jun-18,23.9,Y
270,I11,two,2.43E-07,3.93E-08,1.10E-05,1.24E-06,10-May-18,3.4,Y
313,A10,two,7.93E-07,5.90E-07,3.83E-05,4.01E-07,18-Apr-18,2.7,Y
276,U03,four,2.63E-06,1.15E-07,0.00014171,1.71E-05,09-Jul-18,18.5,Y
276,A05,two,1.32E-06,8.45E-07,7.24E-05,6.30E-06,18-Apr-18,2.4,Y
270,L10 (1:100),two,9.90E-07,0,5.95E-05,7.07E-06,10-May-18,0.049,Y
267,U02 (1:50),two,4.66E-06,3.96E-07,0.000307522,1.43E-05,10-May-18,0.185,Y
267,U02 (1:100),two,2.12E-06,8.84E-07,0.000150795,1.01E-05,10-May-18,0.0925,Y
313,C08,two,1.84E-06,4.92E-07,0.000143321,1.30E-05,18-Apr-18,3.7,Y
279,M09,three,3.14E-08,3.45E-09,2.69E-06,1.84E-06,09-Jul-18,9.3,Y
279,E01,two,5.34E-07,3.85E-07,5.16E-05,1.47E-06,18-Apr-18,2.9,Y
313,R05,three,4.07E-07,1.46E-07,4.03E-05,3.77E-06,09-Jul-18,6.3,Y
267,V12,four,1.40E-07,8.09E-09,1.62E-05,3.33E-06,09-Jul-18,26.4,Y
276,A02,two,1.37E-06,2.60E-07,0.000168669,5.56E-06,10-May-18,2,Y
279,G13,two,3.56E-06,4.47E-06,0.000449942,0.000250935,18-Apr-18,2.5,Y
276,B11,four,1.40E-06,1.27E-07,0.000182999,2.05E-05,09-Jul-18,19.4,Y
