isolate,batch,state,line_origin,plant_origin,strain,isolate_no,extraction_ID,notes,CAGEF_ID,tree_code,VCF_New,morph,vcf_order
D1021.1,1,der,270,A01,Em1022,11,13,,A01-1021-11,270-A01-EPS-,270-A01-EPS--31,EPS-,1
D1022.2,1,der,313,A06,Em1022,28,57,,A06-1022-28,313-A06-EPS+,313-A06-EPS+-25,EPS+,2
D1022.7,4,der,313,A09,Em1022,1,52,,A09-1022-1,313-A09.1-EPS+,313-A09.1-EPS+-3,EPS+,3
D1022.17,9,der,313,A09,Em1022,3,50,,A09-1022-3,313-A09.2-EPS+,313-A09.2-EPS+-7,EPS+,4
A1022.1,"1, 2",anc,anc1022,stock,Em1022,1,37,"groups 1, 4, 6, 9",A1022.1-1,anc1022_1-1,anc1022_1-1,EPS+,5
A1022.1,"1, 2",anc,anc1022,stock,Em1022,2,38,"groups 1, 4, 6, 9",A1022.1-2,anc1022_1-2,anc1022_1-2,EPS+,6
A1022.1,"1, 2",anc,anc1022,stock,Em1022,3,36,"groups 1, 4, 6, 9",A1022.1-3,anc1022_1-3,anc1022_1-3,EPS+,7
A1022.2,"1, 2",anc,anc1022,stock,Em1022,1,35,"groups 2, 5, 7, 10",A1022.2-1,anc1022_2-1,anc1022_2-1,EPS+,8
A1022.2,"1, 2",anc,anc1022,stock,Em1022,2,34,"groups 2, 5, 7, 10",A1022.2-2,anc1022_2-2,anc1022_2-2,EPS+,9
A1022.2,"1, 2",anc,anc1022,stock,Em1022,3,33,"groups 2, 5, 7, 10",A1022.2-3,anc1022_2-3,anc1022_2-3,EPS+,10
A1022.3,"1, 2",anc,anc1022,stock,Em1022,1,30,"groups 3, 8",A1022.3-1,anc1022_3-1,anc1022_3-1,EPS+,11
A1022.3,"1, 2",anc,anc1022,stock,Em1022,2,32,"groups 3, 8",A1022.3-2,anc1022_3-2,anc1022_3-2,EPS+,12
A1022.3,"1, 2",anc,anc1022,stock,Em1022,3,29,"groups 3, 8",A1022.3-3,anc1022_3-3,anc1022_3-3,EPS+,13
D1021.8,4,der,267,A13,Em1022,1,14,,A13-1021-1,267-A13.1-EPS-,267-A13.1-EPS--6,EPS-,14
D1021.20,10,der,267,A13,Em1022,4,24,,A13-1021-4,267-A13.2-EPS-,267-A13.2-EPS--33,EPS-,15
D1021.19,10,der,279,B13,Em1022,16,28,,B13-1021-16,279-B13.3-EPS-,279-B13.3-EPS--38,EPS-,16
D1021.14,7,der,279,B13,Em1022,18,18,,B13-1021-18,279-B13.2-EPS-,279-B13.2-EPS--14,EPS-,17
D1021.6,3,der,279,B13,Em1022,20,15,,B13-1021-20,279-B13.1-EPS-,279-B13.1-EPS--18,EPS-,18
D1022.4,2,der,270,C13,Em1022,12,55,,C13-1022-12,270-C13-EPS+,270-C13-EPS+-34,EPS+,19
D1022.1,1,der,270,D01,Em1022,1,58,,D01-1022-1,270-D01-EPS+,270-D01-EPS+-36,EPS+,20
D1021.18,9,der,313,D09,Em1022,18,23,,D09-1021-18,313-D09-EPS-,313-D09-EPS--17,EPS-,21
D1021.9,5,der,267,D11,Em1022,22,31,,D11-1021-22,267-D11-EPS-,267-D11-EPS--27,EPS-,22
