batch,group,tray,tray_type,harv_date,plant,line,isolate,evo_state,strain,leaf,nod,diss,shoot,root,notes
2,6,29,1021-only,14-Aug-17,16,279,A1021.1,ancestral,Em1021,3,1,NO,3.56,0.22,
2,6,27,1021-only,14-Aug-17,15,270,A1021.1,ancestral,Em1021,3,1,NO,3.69,0.49,
1,1,4,1021-only,31-Jul-17,11,267,A1021.1,ancestral,Em1021,2,0,NO,5.87,0.63,
1,4,19,1021-only,03-Aug-17,23,313,A1021.1,ancestral,Em1021,3,2,NO,6.18,1.08,
1,4,17,1021-only,03-Aug-17,11,270,A1021.1,ancestral,Em1021,4,3,NO,4.97,1.14,
1,4,19,1021-only,03-Aug-17,14,313,A1021.1,ancestral,Em1021,3,3,NO,6.82,1.15,
1,4,19,1021-only,03-Aug-17,12,279,A1021.1,ancestral,Em1021,2,0,NO,3.9,1.34,
1,4,17,1021-only,03-Aug-17,17,279,A1021.1,ancestral,Em1021,3,1,NO,4.41,1.37,
1,1,2,1021-only,31-Jul-17,7,270,A1021.1,ancestral,Em1021,4,1,NO,9.65,1.51,
1,1,2,1021-only,31-Jul-17,11,270,A1021.1,ancestral,Em1021,3,1,NO,9.13,1.71,
2,9,44,1021-only,17-Aug-17,8,270,A1021.1,ancestral,Em1021,4,2,NO,5.79,1.74,
2,9,45,1021-only,17-Aug-17,15,313,A1021.1,ancestral,Em1021,1,1,NO,3.62,1.8,
1,4,17,1021-only,03-Aug-17,26,313,A1021.1,ancestral,Em1021,4,3,NO,9.12,2.06,
2,6,27,1021-only,14-Aug-17,23,313,A1021.1,ancestral,Em1021,3,5,NO,9.69,2.22,
2,6,27,1021-only,14-Aug-17,24,313,A1021.1,ancestral,Em1021,3,3,NO,9.39,2.5,
1,4,19,1021-only,03-Aug-17,25,267,A1021.1,ancestral,Em1021,3,0,NO,9.37,2.72,
2,6,29,1021-only,14-Aug-17,15,267,A1021.1,ancestral,Em1021,3,0,NO,9.46,2.92,
2,6,29,1021-only,14-Aug-17,7,313,A1021.1,ancestral,Em1021,4,3,NO,9.36,3.09,
1,4,19,1021-only,03-Aug-17,9,267,A1021.1,ancestral,Em1021,3,0,NO,8.98,3.23,
1,4,17,1021-only,03-Aug-17,13,279,A1021.1,ancestral,Em1021,3,2,NO,7.45,3.38,
1,4,17,1021-only,03-Aug-17,18,270,A1021.1,ancestral,Em1021,4,5,NO,11.65,3.41,
2,6,29,1021-only,14-Aug-17,10,270,A1021.1,ancestral,Em1021,5,6,YES(5),14.32,3.47,
1,4,17,1021-only,03-Aug-17,4,276,A1021.1,ancestral,Em1021,4,3,NO,10.19,3.49,
1,4,19,1021-only,03-Aug-17,13,267,A1021.1,ancestral,Em1021,3,0,NO,8.26,3.7,"mislabeled as 276, actually 267"
1,1,2,1021-only,31-Jul-17,5,267,A1021.1,ancestral,Em1021,4,2,NO,9.92,4.04,
2,9,45,1021-only,17-Aug-17,4,279,A1021.1,ancestral,Em1021,3,2,NO,10.51,4.19,
2,9,45,1021-only,17-Aug-17,9,313,A1021.1,ancestral,Em1021,4,3,NO,11.92,4.25,
1,1,2,1021-only,31-Jul-17,22,313,A1021.1,ancestral,Em1021,4,9,NO,17.44,4.49,
1,1,2,1021-only,31-Jul-17,16,270,A1021.1,ancestral,Em1021,4,7,NO,13.28,4.5,
1,4,19,1021-only,03-Aug-17,8,276,A1021.1,ancestral,Em1021,4,3,NO,11.3,4.52,
1,1,2,1021-only,31-Jul-17,26,313,A1021.1,ancestral,Em1021,3,5,NO,13.99,4.73,
2,6,27,1021-only,14-Aug-17,7,279,A1021.1,ancestral,Em1021,3,2,NO,8.34,4.84,
2,9,44,1021-only,17-Aug-17,17,270,A1021.1,ancestral,Em1021,5,3,NO,12.12,5.13,
1,1,4,1021-only,31-Jul-17,22,313,A1021.1,ancestral,Em1021,4,10,NO,17.54,5.16,
2,9,44,1021-only,17-Aug-17,22,279,A1021.1,ancestral,Em1021,3,2,NO,7.01,5.18,
1,1,2,1021-only,31-Jul-17,2,267,A1021.1,ancestral,Em1021,3,3,NO,8.29,5.24,
1,4,17,1021-only,03-Aug-17,20,276,A1021.1,ancestral,Em1021,5,3,NO,13.62,5.25,
2,9,44,1021-only,17-Aug-17,25,279,A1021.1,ancestral,Em1021,4,3,NO,10.97,5.31,
2,6,29,1021-only,14-Aug-17,13,267,A1021.1,ancestral,Em1021,4,0,NO,8.69,5.6,
2,9,44,1021-only,17-Aug-17,20,267,A1021.1,ancestral,Em1021,4,0,NO,9.97,5.67,
2,6,27,1021-only,14-Aug-17,22,276,A1021.1,ancestral,Em1021,5,3,NO,16.19,5.86,
1,1,4,1021-only,31-Jul-17,13,279,A1021.1,ancestral,Em1021,3,2,NO,10.8,5.94,
2,6,29,1021-only,14-Aug-17,11,279,A1021.1,ancestral,Em1021,4,3,NO,14.78,5.94,
2,9,45,1021-only,17-Aug-17,11,313,A1021.1,ancestral,Em1021,4,5,NO,13.62,6.13,
2,9,44,1021-only,17-Aug-17,9,276,A1021.1,ancestral,Em1021,4,3,NO,13.55,6.36,
2,9,45,1021-only,17-Aug-17,23,267,A1021.1,ancestral,Em1021,4,0,NO,11.97,7.09,
2,9,45,1021-only,17-Aug-17,5,270,A1021.1,ancestral,Em1021,4,10,YES(5),16.8,7.16,
2,9,44,1021-only,17-Aug-17,18,267,A1021.1,ancestral,Em1021,3,0,NO,7.4,7.36,
2,6,29,1021-only,14-Aug-17,5,276,A1021.1,ancestral,Em1021,5,4,NO,20.01,7.81,
1,1,4,1021-only,31-Jul-17,9,279,A1021.1,ancestral,Em1021,3,3,NO,7.38,7.94,
1,1,4,1021-only,31-Jul-17,7,276,A1021.1,ancestral,Em1021,3,3,NO,15.67,8.34,
1,1,4,1021-only,31-Jul-17,21,276,A1021.1,ancestral,Em1021,5,5,NO,14.15,8.84,
2,6,27,1021-only,14-Aug-17,2,267,A1021.1,ancestral,Em1021,3,0,NO,9.29,9.24,
2,6,27,1021-only,14-Aug-17,14,276,A1021.1,ancestral,Em1021,6,4,NO,17.79,9.73,
2,9,45,1021-only,17-Aug-17,8,276,A1021.1,ancestral,Em1021,3,3,NO,14.23,11.28,
2,9,44,1021-only,17-Aug-17,16,276,A1021.1,ancestral,Em1021,5,2,NO,20.84,13.64,
1,1,2,1021-only,31-Jul-17,17,276,A1021.1,ancestral,Em1021,4,4,NO,18.61,14.71,
1,1,2,1021-only,31-Jul-17,9,279,A1021.1,ancestral,Em1021,NA,NA,NA,NA,NA,no germination
1,4,17,1021-only,03-Aug-17,12,270,A1021.1,ancestral,Em1021,NA,NA,NA,NA,NA,no germination
2,6,27,1021-only,14-Aug-17,20,270,A1021.1,ancestral,Em1021,NA,NA,NA,NA,NA,no germination
1,2,9,1021-only,01-Aug-17,3,313,A1021.2,ancestral,Em1021,4,4,NO,14.94,0.33,
1,2,9,1021-only,01-Aug-17,2,279,A1021.2,ancestral,Em1021,2,2,NO,7.25,1.12,
1,2,6,1021-only,01-Aug-17,18,279,A1021.2,ancestral,Em1021,3,1,NO,6.39,1.15,
1,2,9,1021-only,01-Aug-17,17,313,A1021.2,ancestral,Em1021,3,0,NO,7.45,1.36,
1,5,21,1021-only,04-Aug-17,24,313,A1021.2,ancestral,Em1021,3,2,NO,6.18,1.8,
1,5,21,1021-only,04-Aug-17,23,313,A1021.2,ancestral,Em1021,3,0,NO,7.91,1.91,
2,7,32,1021-only,15-Aug-17,25,270,A1021.2,ancestral,Em1021,4,1,NO,10.06,1.94,
2,7,33,1021-only,15-Aug-17,13,313,A1021.2,ancestral,Em1021,3,1,NO,6.43,2.08,
1,2,6,1021-only,01-Aug-17,23,267,A1021.2,ancestral,Em1021,3,2,NO,7.01,2.09,
2,7,32,1021-only,15-Aug-17,21,313,A1021.2,ancestral,Em1021,2,2,NO,6.25,2.17,
1,2,6,1021-only,01-Aug-17,14,279,A1021.2,ancestral,Em1021,3,1,NO,5.66,2.22,
2,10,49,1021-only,18-Aug-17,6,279,A1021.2,ancestral,Em1021,3,1,NO,5.67,2.24,
2,7,32,1021-only,15-Aug-17,5,279,A1021.2,ancestral,Em1021,2,3,NO,8.06,2.52,
2,7,32,1021-only,15-Aug-17,15,267,A1021.2,ancestral,Em1021,4,0,NO,7.55,2.56,
2,10,49,1021-only,18-Aug-17,15,279,A1021.2,ancestral,Em1021,2,1,NO,4.35,2.61,
1,5,24,1021-only,04-Aug-17,7,276,A1021.2,ancestral,Em1021,4,1,NO,6.2,2.63,
1,2,6,1021-only,01-Aug-17,16,270,A1021.2,ancestral,Em1021,5,6,YES(5),12.8,2.78,
1,5,21,1021-only,04-Aug-17,13,279,A1021.2,ancestral,Em1021,3,6,NO,9.75,2.81,
1,5,24,1021-only,04-Aug-17,26,313,A1021.2,ancestral,Em1021,3,3,NO,11.25,2.81,
1,5,24,1021-only,04-Aug-17,15,267,A1021.2,ancestral,Em1021,3,0,NO,8.26,2.83,
1,2,9,1021-only,01-Aug-17,24,270,A1021.2,ancestral,Em1021,5,5,NO,15.84,3.05,
2,10,49,1021-only,18-Aug-17,16,270,A1021.2,ancestral,Em1021,4,4,NO,13.52,3.08,
2,7,32,1021-only,15-Aug-17,17,279,A1021.2,ancestral,Em1021,4,3,NO,12.38,3.33,
