chrom,samp1,samp2,num_sites_where_both_havedata,var_sites,N_both_het,N_hom_het,N_hom_alt_hom_ref,N_hom_hom,pairwise_geno
CP021825.1,I03-1022-17.bam.reorder,R09-1022-7.bam.reorder,2631,0,0,0,0,2631,0
CP021825.1,A01-1021-11.bam.reorder,S02-1021-19.bam.reorder,2631,0,0,0,0,2631,0
CP021825.1,A01-1021-11.bam.reorder,D11-1021-22.bam.reorder,2631,0,0,0,0,2631,0
CP021825.1,A13-1021-1.bam.reorder,I03-1022-17.bam.reorder,2631,0,0,0,0,2631,0
CP021825.1,A13-1021-1.bam.reorder,R09-1022-7.bam.reorder,2631,0,0,0,0,2631,0
CP021825.1,A1022.1-2.bam.reorder,P09-1022-4.bam.reorder,2631,0,0,0,0,2631,0
CP021825.1,S02-1022-13.bam.reorder,T06-1021-21.bam.reorder,2631,0,0,0,0,2631,0
CP021825.1,D11-1021-22.bam.reorder,S02-1021-19.bam.reorder,2631,0,0,0,0,2631,0
CP021825.1,I03-1022-17.bam.reorder,M10-1022-4.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,I03-1022-17.bam.reorder,O12-1022-5.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,A01-1021-11.bam.reorder,T06-1021-22.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,A1022.1-3.bam.reorder,M10-1022-4.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,A1022.2-2.bam.reorder,B13-1021-16.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,A1022.1-1.bam.reorder,A1022.2-2.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,A1022.1-1.bam.reorder,T06-1021-21.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,A1022.1-1.bam.reorder,S02-1022-13.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,S02-1021-19.bam.reorder,T06-1021-22.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,A13-1021-1.bam.reorder,M10-1022-4.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,A13-1021-1.bam.reorder,O12-1022-5.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,A13-1021-1.bam.reorder,E07-1022-6.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,M10-1022-4.bam.reorder,T06-1021-21.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,M10-1022-4.bam.reorder,R09-1022-7.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,M10-1022-4.bam.reorder,S02-1022-13.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,O12-1022-5.bam.reorder,R09-1022-7.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,A06-1022-28.bam.reorder,D09-1021-18.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,E07-1022-6.bam.reorder,I03-1022-17.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,E07-1022-6.bam.reorder,T06-1021-21.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,E07-1022-6.bam.reorder,S02-1022-13.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,E07-1022-6.bam.reorder,R09-1022-7.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,P09-1021-3.bam.reorder,T06-1021-21.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,P09-1021-3.bam.reorder,S02-1022-13.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,B13-1021-16.bam.reorder,T06-1021-21.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,B13-1021-16.bam.reorder,S02-1022-13.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,D11-1021-22.bam.reorder,T06-1021-22.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,D09-1021-18.bam.reorder,M10-1022-4.bam.reorder,2631,0,0,0,1,2630,1
CP021825.1,I03-1022-17.bam.reorder,T06-1021-21.bam.reorder,2631,0,0,0,2,2629,2
CP021825.1,I03-1022-17.bam.reorder,S02-1022-13.bam.reorder,2631,0,0,0,2,2629,2
CP021825.1,A01-1021-11.bam.reorder,B13-1021-18.bam.reorder,2631,0,0,0,2,2629,2
CP021825.1,A1022.1-3.bam.reorder,I03-1022-17.bam.reorder,2631,0,0,0,2,2629,2
CP021825.1,A1022.1-3.bam.reorder,A13-1021-1.bam.reorder,2631,0,0,0,2,2629,2
CP021825.1,A1022.1-3.bam.reorder,T06-1021-21.bam.reorder,2631,0,0,0,2,2629,2
CP021825.1,A1022.1-3.bam.reorder,S02-1022-13.bam.reorder,2631,0,0,0,2,2629,2
CP021825.1,A1022.1-3.bam.reorder,R09-1022-7.bam.reorder,2631,0,0,0,2,2629,2
CP021825.1,A1022.1-3.bam.reorder,D09-1021-18.bam.reorder,2631,0,0,0,2,2629,2
CP021825.1,A1022.2-2.bam.reorder,T06-1021-21.bam.reorder,2631,0,0,0,2,2629,2
