chrom,samp1,samp2,num_sites_where_both_havedata,var_sites,N_both_het,N_hom_het,N_hom_alt_hom_ref,N_hom_hom,pairwise_geno
CP021827.1,I03-1022-17.bam.reorder,T06-1021-21.bam.reorder,8821,0,0,0,41,8780,41
CP021827.1,I03-1022-17.bam.reorder,T09-1021-15.bam.reorder,8821,0,0,0,29,8792,29
CP021827.1,I03-1022-17.bam.reorder,T06-1021-22.bam.reorder,8821,0,0,0,19,8802,19
CP021827.1,I03-1022-17.bam.reorder,R09-1022-7.bam.reorder,8821,0,0,0,80,8741,80
CP021827.1,I03-1022-17.bam.reorder,P06-1021-32.bam.reorder,8821,0,0,0,84,8737,84
CP021827.1,I03-1022-17.bam.reorder,Q08-1021-20.bam.reorder,8821,0,0,0,21,8800,21
CP021827.1,I03-1022-17.bam.reorder,R11-1021-31.bam.reorder,8821,0,0,0,50,8771,50
CP021827.1,I03-1022-17.bam.reorder,P09-1021-3.bam.reorder,8821,0,0,0,35,8786,35
CP021827.1,I03-1022-17.bam.reorder,S02-1021-19.bam.reorder,8821,0,0,0,62,8759,62
CP021827.1,I03-1022-17.bam.reorder,S02-1022-13.bam.reorder,8821,0,0,0,36,8785,36
CP021827.1,I03-1022-17.bam.reorder,T10-1022-21.bam.reorder,8821,0,0,0,34,8787,34
CP021827.1,I03-1022-17.bam.reorder,P09-1021-5.bam.reorder,8821,0,0,0,78,8743,78
CP021827.1,I03-1022-17.bam.reorder,M10-1022-4.bam.reorder,8821,0,0,0,29,8792,29
CP021827.1,I03-1022-17.bam.reorder,P09-1022-4.bam.reorder,8821,0,0,0,31,8790,31
CP021827.1,I03-1022-17.bam.reorder,T10-1022-22.bam.reorder,8821,0,0,0,54,8767,54
CP021827.1,I03-1022-17.bam.reorder,T06-1021-23.bam.reorder,8821,0,0,0,75,8746,75
CP021827.1,I03-1022-17.bam.reorder,N10-1022-22.bam.reorder,8821,0,0,0,35,8786,35
CP021827.1,I03-1022-17.bam.reorder,O12-1022-5.bam.reorder,8821,0,0,0,30,8791,30
CP021827.1,I03-1022-17.bam.reorder,T11-1022-24.bam.reorder,8821,0,0,0,77,8744,77
CP021827.1,H11-1022-12.bam.reorder,T06-1021-21.bam.reorder,8821,0,0,0,28,8793,28
CP021827.1,H11-1022-12.bam.reorder,I03-1022-17.bam.reorder,8821,0,0,0,23,8798,23
CP021827.1,H11-1022-12.bam.reorder,Q08-1021-20.bam.reorder,8821,0,0,0,14,8807,14
CP021827.1,H11-1022-12.bam.reorder,T06-1021-22.bam.reorder,8821,0,0,0,16,8805,16
CP021827.1,H11-1022-12.bam.reorder,R09-1022-7.bam.reorder,8821,0,0,0,65,8756,65
CP021827.1,H11-1022-12.bam.reorder,P06-1021-32.bam.reorder,8821,0,0,0,77,8744,77
CP021827.1,H11-1022-12.bam.reorder,P09-1021-5.bam.reorder,8821,0,0,0,77,8744,77
CP021827.1,H11-1022-12.bam.reorder,R11-1021-31.bam.reorder,8821,0,0,0,31,8790,31
CP021827.1,H11-1022-12.bam.reorder,H11-1022-26.bam.reorder,8821,0,0,0,64,8757,64
CP021827.1,H11-1022-12.bam.reorder,S02-1021-19.bam.reorder,8821,0,0,0,47,8774,47
CP021827.1,H11-1022-12.bam.reorder,S02-1022-13.bam.reorder,8821,0,0,0,27,8794,27
CP021827.1,H11-1022-12.bam.reorder,T10-1022-21.bam.reorder,8821,0,0,0,23,8798,23
CP021827.1,H11-1022-12.bam.reorder,P09-1021-3.bam.reorder,8821,0,0,0,28,8793,28
CP021827.1,H11-1022-12.bam.reorder,M10-1022-4.bam.reorder,8821,0,0,0,20,8801,20
CP021827.1,H11-1022-12.bam.reorder,P09-1022-4.bam.reorder,8821,0,0,0,32,8789,32
CP021827.1,H11-1022-12.bam.reorder,T09-1021-15.bam.reorder,8821,0,0,0,22,8799,22
