chrom,samp1,samp2,num_sites_where_both_havedata,var_sites,N_both_het,N_hom_het,N_hom_alt_hom_ref,N_hom_hom,pairwise_geno
CP021828.1,I03-1022-17.bam.reorder,T06-1021-21.bam.reorder,9147,0,0,0,25,9122,25
CP021828.1,I03-1022-17.bam.reorder,T09-1021-15.bam.reorder,9147,0,0,0,10,9137,10
CP021828.1,I03-1022-17.bam.reorder,T06-1021-22.bam.reorder,9147,0,0,0,21,9126,21
CP021828.1,I03-1022-17.bam.reorder,R09-1022-7.bam.reorder,9147,0,0,0,27,9120,27
CP021828.1,I03-1022-17.bam.reorder,P06-1021-32.bam.reorder,9147,0,0,0,41,9106,41
CP021828.1,I03-1022-17.bam.reorder,Q08-1021-20.bam.reorder,9147,0,0,0,13,9134,13
CP021828.1,I03-1022-17.bam.reorder,R11-1021-31.bam.reorder,9147,0,0,0,37,9110,37
CP021828.1,I03-1022-17.bam.reorder,P09-1021-3.bam.reorder,9147,0,0,0,28,9119,28
CP021828.1,I03-1022-17.bam.reorder,S02-1021-19.bam.reorder,9147,0,0,0,9,9138,9
CP021828.1,I03-1022-17.bam.reorder,S02-1022-13.bam.reorder,9147,0,0,0,29,9118,29
CP021828.1,I03-1022-17.bam.reorder,T10-1022-21.bam.reorder,9147,0,0,0,16,9131,16
CP021828.1,I03-1022-17.bam.reorder,P09-1021-5.bam.reorder,9147,0,0,0,27,9120,27
CP021828.1,I03-1022-17.bam.reorder,M10-1022-4.bam.reorder,9147,0,0,0,37,9110,37
CP021828.1,I03-1022-17.bam.reorder,P09-1022-4.bam.reorder,9147,0,0,0,20,9127,20
CP021828.1,I03-1022-17.bam.reorder,T10-1022-22.bam.reorder,9147,0,0,0,57,9090,57
CP021828.1,I03-1022-17.bam.reorder,T06-1021-23.bam.reorder,9147,0,0,0,27,9120,27
CP021828.1,I03-1022-17.bam.reorder,N10-1022-22.bam.reorder,9147,0,0,0,28,9119,28
CP021828.1,I03-1022-17.bam.reorder,O12-1022-5.bam.reorder,9147,0,0,0,17,9130,17
CP021828.1,I03-1022-17.bam.reorder,T11-1022-24.bam.reorder,9147,0,0,0,30,9117,30
CP021828.1,H11-1022-12.bam.reorder,T06-1021-21.bam.reorder,9147,0,0,0,30,9117,30
CP021828.1,H11-1022-12.bam.reorder,I03-1022-17.bam.reorder,9147,0,0,0,11,9136,11
CP021828.1,H11-1022-12.bam.reorder,Q08-1021-20.bam.reorder,9147,0,0,0,14,9133,14
CP021828.1,H11-1022-12.bam.reorder,T06-1021-22.bam.reorder,9147,0,0,0,20,9127,20
CP021828.1,H11-1022-12.bam.reorder,R09-1022-7.bam.reorder,9147,0,0,0,28,9119,28
CP021828.1,H11-1022-12.bam.reorder,P06-1021-32.bam.reorder,9147,0,0,0,44,9103,44
CP021828.1,H11-1022-12.bam.reorder,P09-1021-5.bam.reorder,9147,0,0,0,34,9113,34
CP021828.1,H11-1022-12.bam.reorder,R11-1021-31.bam.reorder,9147,0,0,0,40,9107,40
